Station name	Scarrawalsh
Station number	12001
Time series name	WEB.Day.Mean
From	1955/09/05 00:00:00
To	2022/05/02 00:00:00
Unit	cubic meter per second

Date	Value	Quality
1957/02/15 00:00:00	16.011	F
1957/02/16 00:00:00	10.409	F
1957/02/17 00:00:00	9.664	F
1957/02/18 00:00:00	9.302	F
1957/02/19 00:00:00	10.708	F
1957/02/20 00:00:00	11.679	F
1957/02/21 00:00:00	13.944	F
1957/02/22 00:00:00	15.493	F
1957/02/23 00:00:00	17.245	F
1957/02/24 00:00:00	20.878	F
1957/02/25 00:00:00	23.431	F
1957/02/26 00:00:00	20.871	F
1957/02/27 00:00:00	16.795	F
1957/02/28 00:00:00	13.833	F
1957/03/01 00:00:00	13.085	F
1957/03/02 00:00:00	11.105	F
1957/03/03 00:00:00	9.803	F
1957/03/04 00:00:00	8.004	F
1957/03/05 00:00:00	7.258	F
1957/03/06 00:00:00	13.179	F
1957/03/07 00:00:00	11.156	F
1957/03/08 00:00:00	11.933	F
1957/03/09 00:00:00	14.600	F
1957/03/10 00:00:00	14.032	F
1957/03/11 00:00:00	15.130	F
1957/03/12 00:00:00	12.030	F
1957/03/13 00:00:00	9.780	F
1957/03/14 00:00:00	10.119	F
1957/03/15 00:00:00	9.156	F
1957/03/16 00:00:00	9.830	F
1957/03/17 00:00:00	10.460	F
1957/03/18 00:00:00	9.396	F
1957/03/19 00:00:00	10.889	F
1957/03/20 00:00:00	51.249	F
1957/03/21 00:00:00	18.340	F
1957/03/22 00:00:00	12.703	F
1957/03/23 00:00:00	10.895	F
1957/03/24 00:00:00	10.392	F
1957/03/25 00:00:00	10.945	F
1957/03/26 00:00:00	12.245	F
1957/03/27 00:00:00	10.565	F
1957/03/28 00:00:00	9.114	F
1957/03/29 00:00:00	12.647	F
1957/03/30 00:00:00	15.283	F
1957/03/31 00:00:00	29.241	F
1957/04/01 00:00:00	56.417	F
1957/04/02 00:00:00	25.553	F
1957/04/03 00:00:00	19.174	F
1957/04/04 00:00:00	14.888	F
1957/04/05 00:00:00	11.433	F
1957/04/06 00:00:00	10.667	F
1957/04/07 00:00:00	9.643	F
1957/04/08 00:00:00	8.537	F
1957/04/09 00:00:00	8.107	F
1957/04/10 00:00:00	7.197	F
1957/04/11 00:00:00	6.525	F
1957/04/12 00:00:00	6.730	F
1957/04/13 00:00:00	6.889	F
1957/04/14 00:00:00	7.163	F
1957/04/15 00:00:00	7.446	F
1957/04/16 00:00:00	7.808	F
1957/04/17 00:00:00	7.524	F
1957/04/18 00:00:00	7.760	F
1957/04/19 00:00:00	7.377	F
1957/04/20 00:00:00	6.722	F
1957/04/21 00:00:00	7.742	F
1957/04/22 00:00:00	7.073	F
1957/04/23 00:00:00	6.662	F
1957/04/24 00:00:00	6.188	F
1957/04/25 00:00:00	5.933	F
1957/04/26 00:00:00	6.037	F
1957/04/27 00:00:00	6.398	F
1957/04/28 00:00:00	7.573	F
1957/04/29 00:00:00	7.210	F
1957/04/30 00:00:00	7.560	F
1957/05/01 00:00:00	7.069	F
1957/05/02 00:00:00	6.721	F
1957/05/03 00:00:00	6.244	F
1957/05/04 00:00:00	5.860	F
1957/05/05 00:00:00	6.020	F
1957/05/06 00:00:00	6.859	F
1957/05/07 00:00:00	6.381	F
1957/05/08 00:00:00	5.920	F
1957/05/09 00:00:00	5.822	F
1957/05/10 00:00:00	5.833	F
1957/05/11 00:00:00	6.154	F
1957/05/12 00:00:00	6.847	F
1957/05/13 00:00:00	6.936	F
1957/05/14 00:00:00	9.329	F
1957/05/15 00:00:00	9.930	F
1957/05/16 00:00:00	10.937	F
1957/05/17 00:00:00	9.344	F
1957/05/18 00:00:00	14.876	F
1957/05/19 00:00:00	10.641	F
1957/05/20 00:00:00	7.158	F
1957/05/21 00:00:00	5.764	F
1957/05/22 00:00:00	5.799	F
1957/05/23 00:00:00	5.795	F
1957/05/24 00:00:00	5.406	F
1957/05/25 00:00:00	5.354	F
1957/05/26 00:00:00	6.336	F
1957/05/27 00:00:00	6.919	F
1957/05/28 00:00:00	6.147	F
1957/05/29 00:00:00	5.783	F
1957/05/30 00:00:00	4.153	F
1957/05/31 00:00:00	2.275	F
1957/06/01 00:00:00	1.310	F
1957/06/02 00:00:00	0.568	F
1957/06/03 00:00:00	0.831	F
1957/06/04 00:00:00	1.104	F
1957/06/05 00:00:00	1.166	F
1957/06/06 00:00:00	1.786	F
1957/06/07 00:00:00	2.262	F
1957/06/08 00:00:00	2.450	F
1957/06/09 00:00:00	2.629	F
1957/06/10 00:00:00	3.493	F
1957/06/11 00:00:00	2.751	F
1957/06/12 00:00:00	1.976	F
1957/06/13 00:00:00	1.169	F
1957/06/14 00:00:00	1.082	F
1957/06/15 00:00:00	0.831	F
1957/06/16 00:00:00	0.849	F
1957/06/17 00:00:00	0.624	F
1957/06/18 00:00:00	0.610	F
1957/06/19 00:00:00	0.559	F
1957/06/20 00:00:00	0.562	F
1957/06/21 00:00:00	0.746	F
1957/06/22 00:00:00	0.928	F
1957/06/23 00:00:00	0.867	F
1957/06/24 00:00:00	0.664	F
1957/06/25 00:00:00	0.646	F
1957/06/26 00:00:00	0.541	F
1957/06/27 00:00:00	0.456	F
1957/06/28 00:00:00	0.595	F
1957/06/29 00:00:00	0.658	F
1957/06/30 00:00:00	0.484	F
1957/07/01 00:00:00	0.340	F
1957/07/02 00:00:00	0.374	F
1957/07/03 00:00:00	0.403	F
1957/07/04 00:00:00	0.413	F
1957/07/05 00:00:00	0.634	F
1957/07/06 00:00:00	0.470	F
1957/07/07 00:00:00	0.500	F
1957/07/08 00:00:00	0.336	F
1957/07/09 00:00:00	0.407	F
1957/07/10 00:00:00	0.680	F
1957/07/11 00:00:00	0.963	F
1957/07/12 00:00:00	1.284	F
1957/07/13 00:00:00	1.679	F
1957/07/14 00:00:00	2.357	F
1957/07/15 00:00:00	2.837	F
1957/07/16 00:00:00	2.259	F
1957/07/17 00:00:00	3.314	F
1957/07/18 00:00:00	4.304	F
1957/07/19 00:00:00	4.239	F
1957/07/20 00:00:00	2.633	F
1957/07/21 00:00:00	3.141	F
1957/07/22 00:00:00	3.715	F
1957/07/23 00:00:00	3.992	F
1957/07/24 00:00:00	3.485	F
1957/07/25 00:00:00	3.680	F
1957/07/26 00:00:00	6.885	F
1957/07/27 00:00:00	6.454	F
1957/07/28 00:00:00	5.176	F
1957/07/29 00:00:00	3.529	F
1957/07/30 00:00:00	1.736	F
1957/07/31 00:00:00	1.396	F
1957/08/01 00:00:00	1.081	F
1957/08/02 00:00:00	0.983	F
1957/08/03 00:00:00	0.900	F
1957/08/04 00:00:00	0.900	F
1957/08/05 00:00:00	0.852	F
1957/08/06 00:00:00	1.481	F
1957/08/07 00:00:00	1.297	F
1957/08/08 00:00:00	0.853	F
